id,predict_time,category,flag,ds,yhat,yhat_lower,yhat_upper,trend,trend_lower,trend_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper
102,2021-06-30,population,1000 persons,1998-12-31,27818.930062909763,13313.318180236845,43282.701095634184,36261.625658677774,36261.625658677774,36261.625658677774,-8442.695595768010,-8442.695595768010,-8442.695595768010,-8442.69559576801,-8442.69559576801,-8442.69559576801,0,0,0
103,2021-06-30,population,1000 persons,1999-12-31,27990.188729633588,12445.578346470245,42395.776578565856,36450.660070699996,36450.660070699996,36450.660070699996,-8460.471341066408,-8460.471341066408,-8460.471341066408,-8460.47134106641,-8460.47134106641,-8460.47134106641,0,0,0
104,2021-06-30,population,1000 persons,2000-12-31,28251.079741941398,13731.685439011135,43717.428416264614,36640.212385220910,36640.212385220910,36640.212385220910,-8389.132643279514,-8389.132643279514,-8389.132643279514,-8389.13264327951,-8389.13264327951,-8389.13264327951,0,0,0
105,2021-06-30,population,1000 persons,2001-12-31,28410.340416870305,12792.971620363490,42198.663709766100,36829.246798001570,36829.246798001570,36829.246798001570,-8418.906381131266,-8418.906381131266,-8418.906381131266,-8418.90638113127,-8418.90638113127,-8418.90638113127,0,0,0
106,2021-06-30,population,1000 persons,2002-12-31,28575.585615014446,12800.485211062149,42983.391728800390,37018.281210782230,37018.281210782230,37018.281210782230,-8442.695595767784,-8442.695595767784,-8442.695595767784,-8442.69559576778,-8442.69559576778,-8442.69559576778,0,0,0
107,2021-06-30,population,1000 persons,2003-12-31,28746.844278432865,12902.871589613020,44067.514322532250,37207.315619499120,37207.315619499120,37207.315619499120,-8460.471341066252,-8460.471341066252,-8460.471341066252,-8460.47134106625,-8460.47134106625,-8460.47134106625,0,0,0
108,2021-06-30,population,1000 persons,2004-12-31,29007.735287425923,14841.973451477581,43288.698434511810,37396.867930705640,37396.867930705640,37396.867930705640,-8389.132643279712,-8389.132643279712,-8389.132643279712,-8389.13264327971,-8389.13264327971,-8389.13264327971,0,0,0
109,2021-06-30,population,1000 persons,2005-12-31,29166.995958136650,14588.415156008774,44407.498332009774,37585.902339268090,37585.902339268090,37585.902339268090,-8418.906381131439,-8418.906381131439,-8418.906381131439,-8418.90638113144,-8418.90638113144,-8418.90638113144,0,0,0
110,2021-06-30,population,1000 persons,2006-12-31,29332.241152062460,13864.276304753168,44953.820457805730,37774.936747830540,37774.936747830540,37774.936747830540,-8442.695595768086,-8442.695595768086,-8442.695595768086,-8442.69559576809,-8442.69559576809,-8442.69559576809,0,0,0
111,2021-06-30,population,1000 persons,2007-12-31,29503.499815326642,14258.164296804269,43667.446976939464,37963.971156392996,37963.971156392996,37963.971156392996,-8460.471341066353,-8460.471341066353,-8460.471341066353,-8460.47134106635,-8460.47134106635,-8460.47134106635,0,0,0
