,ds,y,produce_type
633,2015-11-22,123.33,round
649,2015-11-29,110.67,round
665,2015-12-06,101.07,round
681,2015-12-13,98.91,round
697,2015-12-20,77.83,round
713,2015-12-27,65.06,round
729,2016-01-03,56.95,round
745,2016-01-10,51.01,round
761,2016-01-17,55.71,round
777,2016-01-24,58.51,round
793,2016-01-31,71.04,round
809,2016-02-07,64.64,round
825,2016-02-14,62.57,round
841,2016-02-21,0.0,round
10,2016-02-28,60.6,round
26,2016-03-06,57.02,round
42,2016-03-13,58.02,round
58,2016-03-20,56.91,round
74,2016-03-27,66.09,round
90,2016-04-03,59.61,round
106,2016-04-10,62.66,round
122,2016-04-17,68.99,round
138,2016-04-24,75.77,round
154,2016-05-01,81.64,round
170,2016-05-08,80.0,round
186,2016-05-15,77.92,round
202,2016-05-22,73.64,round
218,2016-05-29,73.15,round
234,2016-06-05,69.06,round
250,2016-06-12,65.39,round
266,2016-06-19,57.51,round
282,2016-06-26,54.57,round
298,2016-07-03,53.86,round
314,2016-07-10,47.67,round
330,2016-07-17,44.08,round
346,2016-07-24,47.58,round
362,2016-07-31,49.33,round
378,2016-08-07,51.3,round
394,2016-08-14,48.94,round
410,2016-08-21,53.58,round
426,2016-08-28,53.1,round
442,2016-09-04,54.21,round
458,2016-09-11,62.6,round
474,2016-09-18,77.17,round
490,2016-09-25,71.6,round
506,2016-10-02,65.6,round
522,2016-10-09,78.75,round
538,2016-10-16,77.0,round
554,2016-10-23,66.74,round
570,2016-10-30,67.04,round
586,2016-11-06,71.0,round
602,2016-11-13,72.33,round
618,2016-11-20,78.53,round
634,2016-11-27,75.92,round
650,2016-12-04,82.44,round
666,2016-12-11,80.6,round
682,2016-12-18,80.38,round
698,2016-12-25,72.48,round
714,2017-01-01,51.03,round
730,2017-01-08,69.46,round
746,2017-01-15,81.97,round
762,2017-01-22,91.75,round
778,2017-01-29,101.19,round
794,2017-02-05,83.95,round
810,2017-02-12,92.29,round
826,2017-02-19,0.0,round
842,2017-02-26,62.38,round
11,2017-03-05,80.15,round
27,2017-03-12,109.39,round
43,2017-03-19,122.79,round
59,2017-03-26,135.6,round
75,2017-04-02,127.19,round
91,2017-04-09,86.03,round
107,2017-04-16,70.92,round
123,2017-04-23,71.02,round
139,2017-04-30,74.48,round
155,2017-05-07,78.42,round
171,2017-05-14,90.72,round
187,2017-05-21,87.48,round
203,2017-05-28,87.36,round
219,2017-06-04,87.36,round
235,2017-06-11,123.56,round
251,2017-06-18,104.17,round
267,2017-06-25,67.65,round
283,2017-07-02,55.87,round
299,2017-07-09,45.89,round
315,2017-07-16,38.33,round
331,2017-07-23,37.91,round
347,2017-07-30,37.88,round
363,2017-08-06,51.23,round
379,2017-08-13,57.15,round
395,2017-08-20,51.13,round
411,2017-08-27,49.67,round
427,2017-09-03,48.71,round
443,2017-09-10,63.61,round
459,2017-09-17,63.78,round
475,2017-09-24,52.17,round
491,2017-10-01,58.3,round
507,2017-10-08,63.44,round
523,2017-10-15,71.39,round
539,2017-10-22,64.69,round
555,2017-10-29,62.45,round
571,2017-11-05,70.54,round
587,2017-11-12,81.03,round
603,2017-11-19,98.58,round
619,2017-11-26,96.58,round
635,2017-12-03,89.7,round
651,2017-12-10,90.25,round
667,2017-12-17,86.98,round
683,2017-12-24,75.8,round
699,2017-12-31,70.6,round
715,2018-01-07,69.11,round
731,2018-01-14,72.91,round
747,2018-01-21,87.25,round
763,2018-01-28,93.73,round
779,2018-02-04,99.17,round
795,2018-02-11,107.82,round
811,2018-02-18,99.03,round
827,2018-02-25,84.95,round
843,2018-03-04,0.0,round
12,2018-03-11,79.06,round
28,2018-03-18,72.2,round
44,2018-03-25,56.81,round
60,2018-04-01,49.35,round
76,2018-04-08,51.18,round
92,2018-04-15,56.92,round
108,2018-04-22,54.06,round
124,2018-04-29,57.42,round
140,2018-05-06,61.31,round
156,2018-05-13,62.28,round
172,2018-05-20,57.16,round
188,2018-05-27,58.21,round
204,2018-06-03,59.05,round
220,2018-06-10,57.47,round
236,2018-06-17,53.56,round
252,2018-06-24,56.25,round
268,2018-07-01,58.41,round
284,2018-07-08,57.27,round
300,2018-07-15,61.99,round
316,2018-07-22,57.26,round
332,2018-07-29,49.58,round
348,2018-08-05,42.34,round
364,2018-08-12,39.23,round
380,2018-08-19,46.71,round
396,2018-08-26,58.23,round
412,2018-09-02,54.01,round
428,2018-09-09,45.35,round
444,2018-09-16,52.0,round
460,2018-09-23,54.61,round
476,2018-09-30,52.38,round
492,2018-10-07,52.57,round
508,2018-10-14,55.95,round
524,2018-10-21,56.57,round
540,2018-10-28,50.2,round
556,2018-11-04,63.08,round
572,2018-11-11,59.65,round
588,2018-11-18,81.54,round
604,2018-11-25,101.19,round
620,2018-12-02,104.72,round
636,2018-12-09,93.44,round
652,2018-12-16,88.15,round
668,2018-12-23,83.68,round
684,2018-12-30,72.15,round
700,2019-01-06,72.57,round
716,2019-01-13,84.81,round
732,2019-01-20,77.33,round
748,2019-01-27,75.79,round
764,2019-02-03,76.3,round
780,2019-02-10,82.38,round
796,2019-02-17,84.9,round
812,2019-02-24,64.83,round
828,2019-03-03,61.63,round
844,2019-03-10,0.0,round
13,2019-03-17,71.77,round
29,2019-03-24,91.55,round
45,2019-03-31,100.45,round
61,2019-04-07,87.22,round
77,2019-04-14,73.62,round
93,2019-04-21,66.16,round
109,2019-04-28,68.14,round
125,2019-05-05,71.8,round
141,2019-05-12,74.43,round
157,2019-05-19,81.37,round
173,2019-05-26,78.45,round
189,2019-06-02,83.41,round
205,2019-06-09,86.28,round
221,2019-06-16,86.4,round
237,2019-06-23,88.26,round
253,2019-06-30,91.71,round
269,2019-07-07,65.91,round
285,2019-07-14,55.26,round
301,2019-07-21,54.82,round
317,2019-07-28,45.49,round
333,2019-08-04,46.76,round
349,2019-08-11,55.87,round
365,2019-08-18,78.19,round
381,2019-08-25,70.37,round
397,2019-09-01,72.71,round
413,2019-09-08,83.62,round
429,2019-09-15,94.0,round
445,2019-09-22,74.34,round
461,2019-09-29,70.6,round
477,2019-10-06,103.5,round
493,2019-10-13,87.18,round
509,2019-10-20,118.88,round
525,2019-10-27,73.97,round
541,2019-11-03,68.16,round
557,2019-11-10,73.72,round
573,2019-11-17,70.56,round
589,2019-11-24,70.69,round
605,2019-12-01,74.03,round
621,2019-12-08,73.91,round
637,2019-12-15,69.01,round
653,2019-12-22,76.61,round
669,2019-12-29,66.58,round
685,2020-01-05,65.13,round
701,2020-01-12,79.4,round
717,2020-01-19,69.66,round
733,2020-01-26,65.46,round
749,2020-02-02,67.99,round
765,2020-02-09,70.73,round
781,2020-02-16,86.74,round
797,2020-02-23,86.23,round
813,2020-03-01,80.03,round
829,2020-03-08,75.01,round
845,2020-03-15,0.0,round
14,2020-03-22,67.56,round
30,2020-03-29,71.74,round
46,2020-04-05,75.16,round
62,2020-04-12,76.94,round
78,2020-04-19,75.93,round
94,2020-04-26,78.28,round
110,2020-05-03,74.66,round
126,2020-05-10,72.41,round
142,2020-05-17,70.02,round
158,2020-05-24,73.94,round
174,2020-05-31,81.01,round
190,2020-06-07,78.23,round
206,2020-06-14,66.55,round
222,2020-06-21,83.34,round
238,2020-06-28,95.68,round
254,2020-07-05,85.63,round
270,2020-07-12,57.29,round
286,2020-07-19,50.42,round
302,2020-07-26,53.33,round
318,2020-08-02,51.62,round
334,2020-08-09,53.16,round
350,2020-08-16,67.66,round
366,2020-08-23,59.76,round
382,2020-08-30,64.42,round
398,2020-09-06,63.35,round
414,2020-09-13,73.81,round
430,2020-09-20,60.62,round
446,2020-09-27,56.26,round
462,2020-10-04,47.1,round
478,2020-10-11,51.77,round
494,2020-10-18,55.73,round
510,2020-10-25,61.15,round
526,2020-11-01,57.61,round
542,2020-11-08,52.29,round
558,2020-11-15,55.92,round
574,2020-11-22,44.16,round
590,2020-11-29,59.75,round
606,2020-12-06,103.02,round
622,2020-12-13,89.78,round
638,2020-12-20,72.84,round
654,2020-12-27,86.8,round
670,2021-01-03,124.89,round
686,2021-01-10,115.32,round
702,2021-01-17,90.21,round
718,2021-01-24,78.39,round
734,2021-01-31,64.22,round
750,2021-02-07,49.25,round
766,2021-02-14,50.47,round
782,2021-02-21,52.61,round
798,2021-02-28,68.51,round
814,2021-03-07,67.56,round
830,2021-03-14,64.7,round
846,2021-03-21,0.0,round
15,2021-03-28,90.97,round
31,2021-04-04,102.88,round
47,2021-04-11,87.55,round
63,2021-04-18,55.89,round
79,2021-04-25,50.21,round
95,2021-05-02,49.19,round
111,2021-05-09,48.89,round
127,2021-05-16,65.6,round
143,2021-05-23,85.31,round
159,2021-05-30,97.5,round
175,2021-06-06,100.32,round
191,2021-06-13,104.32,round
207,2021-06-20,96.95,round
223,2021-06-27,96.39,round
239,2021-07-04,96.83,round
255,2021-07-11,107.39,round
271,2021-07-18,87.0,round
287,2021-07-25,71.35,round
303,2021-08-01,48.58,round
319,2021-08-08,43.47,round
335,2021-08-15,49.44,round
351,2021-08-22,69.95,round
367,2021-08-29,71.89,round
383,2021-09-05,0.0,round
399,2021-09-12,0.0,round
415,2021-09-19,0.0,round
431,2021-09-26,0.0,round
447,2021-10-03,0.0,round
463,2021-10-10,0.0,round
479,2021-10-17,0.0,round
495,2021-10-24,0.0,round
511,2021-10-31,0.0,round
527,2021-11-07,0.0,round
543,2021-11-14,0.0,round
559,2021-11-21,0.0,round
575,2021-11-28,0.0,round
591,2021-12-05,0.0,round
607,2021-12-12,0.0,round
623,2021-12-19,0.0,round
639,2021-12-26,0.0,round
655,2022-01-02,0.0,round
671,2022-01-09,0.0,round
687,2022-01-16,0.0,round
703,2022-01-23,0.0,round
719,2022-01-30,0.0,round
735,2022-02-06,0.0,round
751,2022-02-13,0.0,round
767,2022-02-20,0.0,round
783,2022-02-27,0.0,round
799,2022-03-06,0.0,round
815,2022-03-13,0.0,round
831,2022-03-20,0.0,round
847,2022-03-27,65.46,round
